Name,Distributor,Month,Country,Genre,Runtime,Grade,Screen_Type,Story,Series,Audience_Reviews,Critic_Reviews,Trailer_views,Preview,Screen,Audience
베이비 드라이버,Major,9,Europe,Action,112,15,4D,No,No,9.09,7.67,666003,32040,778,822656
위대한 쇼맨,Minor,12,America,Drama,104,12,2D,Yes,No,9.61,6.60,752196,3583,702,1402816
뽀로로 극장판 공룡섬 대모험,Major,12,Korea,Animation,78,All,2D,No,Yes,9.70,5.00,404109,4451,803,827021
레지던트 이블 : 파멸의 날,Major,1,America,Action,106,19,4D,No,Yes,8.19,6.00,870923,401,599,765259
공각기동대 : 고스트 인 더 쉘,Major,3,America,SF,106,15,IMAX,No,No,8.14,5.14,1263813,1183,807,764072
트롤,Major,2,America,Animation,92,All,4D,No,No,8.88,5.50,263089,1978,622,675966
패신저스,Major,1,America,Adventure,116,12,3D,No,No,8.94,5.50,1061423,401,608,688977
씽,Major,12,America,Animation,107,All,3D,No,No,9.41,6.71,508298,5897,795,1730688
아빠는 딸,Major,4,Korea,Comedy,114,12,2D,No,No,9.11,4.00,881429,7428,520,646924
컨택트,Major,2,America,SF,116,12,2D,No,No,7.73,7.29,764516,4830,605,634150
47 미터,Minor,7,Europe,Horror,89,15,2D,No,No,8.16,4.00,899671,3487,733,590036
메리와 마녀의 꽃,Major,12,Japan,Animation,102,All,2D,No,No,9.15,5.83,136867,2217,751,535601
얼라이드,Major,1,America,Romance,123,15,2D,No,No,9.16,6.50,624489,3948,543,520448
발레리안 : 천 개의 행성의 도시 ,Minor,8,Europe,Action,136,12,IMAX,No,No,8.35,5.56,824070,9721,629,511931
그레이트 월,Major,2,America,Fantasy,103,12,IMAX,No,No,8.02,4.50,762667,2098,598,501486
카3 : 새로운 도전,Major,7,America,Animation,108,All,4D,No,Yes,9.71,5.50,567497,4764,800,487916
침묵,Major,11,Korea,Drama,125,15,2D,No,No,8.79,6.09,882996,6332,634,494097
트리플 엑스 리턴즈,Major,2,America,Action,106,15,IMAX,No,No,9.31,5.00,975769,1010,590,475309
리얼,Major,6,Korea,Action,137,19,2D,No,No,8.15,2.67,3906361,3891,970,470105
너의 췌장을 먹고 싶어,Major,10,Japan,Drama,115,12,2D,Yes,No,8.95,7.33,46091,5241,218,465495
라이프,Major,4,America,SF,103,15,IMAX,No,No,8.13,5.67,929114,14215,647,459984
히든 피겨스,Major,3,America,Drama,126,12,2D,No,No,9.45,6.75,1043735,15242,448,449518
명탐정 코난 : 진홍의 연가,Major,8,Japan,Animation,112,12,2D,No,Yes,9.74,6.00,134197,2718,582,450043
반드시 잡는다,Major,11,Korea,Horror,110,15,2D,No,No,8.45,6.50,182522,7267,565,446780
